source_value,frequency,concept_id,concept_name,domain,vocabulary
"Possible Inferior infarct , age undetermined",15548.0,4247796,Inferior myocardial infarction on electrocardiogram,Condition,SNOMED
Right axis deviation,13696.0,4166218,Right axis deviation,Condition,SNOMED
Possible Right ventricular hypertrophy,13685.0,4231591,Right ventricular hypertrophy,Condition,SNOMED
"ST & T wave abnormality , consider anterolateral ischemia",13109.0,4139185,EKG: anterior ischemia,Condition,SNOMED
Left bundle branch block,12870.0,316998,Left bundle branch block,Condition,SNOMED
"T wave abnormality , consider inferior ischemia",12461.0,4137208,EKG: inferior ischemia,Condition,SNOMED
Left ventricular hypertrophy,11818.0,4184746,Left ventricular hypertrophy,Condition,SNOMED
"Cannot rule out Inferior infarct , age undetermined",11583.0,4247796,Inferior myocardial infarction on electrocardiogram,Condition,SNOMED
Non-specific intra-ventricular conduction block,11467.0,44784220,Non-specific intraventricular conduction delay,Condition,SNOMED
Non-specific intra-ventricular conduction delay,11337.0,44784220,Non-specific intraventricular conduction delay,Condition,SNOMED
Electronic ventricular Pacemaker,11315.0,4138896,Cardiac pacemaker active on electrocardiogram,Condition,SNOMED
Right atrial enlargement,11214.0,43021828,Right atrial enlargement,Condition,SNOMED
Sinus rhythm with Premature atrial complexes,10902.0,4091898,Sinus rhythm,Condition,SNOMED
Left ventricular hypertrophy with QRS widening,10774.0,4184746,Left ventricular hypertrophy,Condition,SNOMED
*** ** ** ** * ACUTE MI ** ** ** **,10503.0,312327,Acute myocardial infarction,Condition,SNOMED
Atrial flutter with variable A-V block,10398.0,314665,Atrial flutter,Condition,SNOMED
"Abnormal QRS-T angle, consider primary T wave abnormality",10275.0,4065390,EKG: T wave abnormal,Condition,SNOMED
tachycardia,10240.0,444070,Tachycardia,Condition,SNOMED
Sinus bradycardia with sinus arrhythmia,10120.0,4171683,Sinus bradycardia,Condition,SNOMED
"T wave abnormality , consider anterolateral ischemia",9915.0,4139185,EKG: anterior ischemia,Condition,SNOMED
"ST & T wave abnormality , consider inferior ischemia",9639.0,4137208,EKG: inferior ischemia,Condition,SNOMED
Atrial fibrillation with premature ventricular or aberrantly conducted complexes,9544.0,313217,Atrial fibrillation,Condition,SNOMED
"Cannot rule out Anterior infarct , age undetermined",9538.0,4180609,Anterior myocardial infarction on electrocardiogram,Condition,SNOMED
Atrial fibrillation with slow ventricular response,9151.0,313217,Atrial fibrillation,Condition,SNOMED
*** Bifascicular block ***,8791.0,4250169,Bifascicular block,Condition,SNOMED
"Anteroseptal infarct , age undetermined",8356.0,4064610,ECG: antero-septal infarct,Condition,SNOMED
Sinus rhythm with frequent,8196.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with short PR,7906.0,4171521,Shortened PR interval,Condition,SNOMED
Right ventricular hypertrophy,7857.0,4231591,Right ventricular hypertrophy,Condition,SNOMED
Sinus rhythm with 1st degree AV block,7727.0,314379,First degree atrioventricular block,Condition,SNOMED
"ST & T wave abnormality , consider anterior ischemia",7222.0,4139185,EKG: anterior ischemia,Condition,SNOMED
negative T-wave (anterior),6434.0,45767549,Anterior T wave inversion,Condition,SNOMED
"Possible Lateral infarct , age undetermined",5954.0,4064350,ECG: lateral infarction,Condition,SNOMED
Left ventricular hypertrophy with QRS widening and repolarization abnormality,5903.0,4184746,Left ventricular hypertrophy,Condition,SNOMED
"Lateral infarct , age undetermined",5865.0,4064350,ECG: lateral infarction,Condition,SNOMED
"Anterior infarct , age undetermined",5660.0,4180609,Anterior myocardial infarction on electrocardiogram,Condition,SNOMED
Accelerated Junctional rhythm,5444.0,4145359,EKG: accelerated junctional rhythm,Condition,SNOMED
"ST elevation, consider early repolarization",5305.0,4295129,ST segment elevation,Condition,SNOMED
Atrial fibrillation with rapid ventricular response with premature ventricular or aberrantly conducted complexes,5227.0,44782442,Atrial fibrillation with rapid ventricular response,Condition,SNOMED
Left posterior fascicular block,5139.0,4268046,Left posterior fascicular block,Condition,SNOMED
*** ** ** ** * ACUTE MI ** ** ** ** / STEMI ** **,5089.0,312327,Acute myocardial infarction,Condition,SNOMED
"ST abnormality, possible digitalis effect",4875.0,4184762,EKG ST segment changes,Condition,SNOMED
"Nonspecific T wave abnormality , probably digitalis effect",4770.0,4065390,EKG: T wave abnormal,Condition,SNOMED
"ST & T wave abnormality , consider inferolateral ischemia",4768.0,4137208,EKG: inferior ischemia,Condition,SNOMED
"Nonspecific ST and T wave abnormality , probably digitalis effect",4764.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
"Anterolateral infarct , age undetermined",4756.0,4184348,Anterolateral infarction by electrocardiogram,Condition,SNOMED
Possible Biventricular hypertrophy,4756.0,4145489,Ventricular hypertrophy,Condition,SNOMED
ST-segment elevation (anterior),4690.0,45767556,Anterior ST segment elevation,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia,4684.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm",4466.0,4181676,P wave axis - finding,Condition,SNOMED
occasional premature ventricular complexes,4453.0,4089462,Ventricular premature complex,Condition,SNOMED
Junctional rhythm,4406.0,4038688,AV junctional rhythm,Condition,SNOMED
premature ventricular complexes,4367.0,4089462,Ventricular premature complex,Condition,SNOMED
ST & Marked T wave abnormality consider anterolateral ischemia,4362.0,4139185,EKG: anterior ischemia,Condition,SNOMED
Atrial fibrillation with a competing junctional Pacemaker,4258.0,313217,Atrial fibrillation,Condition,SNOMED
Sinus rhythm with Premature supraventricular complexes,4206.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus bradycardia with 1st degree AV block,4161.0,4171683,Sinus bradycardia,Condition,SNOMED
"ST elevation, probably due to early repolarization",4107.0,4295129,ST segment elevation,Condition,SNOMED
Nonspecific intraventricular conduction delay,3799.0,44784220,Non-specific intraventricular conduction delay,Condition,SNOMED
Sinus rhythm with sinus arrhythmia,3613.0,4091898,Sinus rhythm,Condition,SNOMED
complete Right bundle branch block,3592.0,37017194,EKG: complete right bundle branch block,Condition,SNOMED
left anterior hemiblock,3468.0,4295336,Left anterior fascicular block,Condition,SNOMED
"T wave abnormality , consider inferolateral ischemia",3466.0,4137208,EKG: inferior ischemia,Condition,SNOMED
occasional premature supraventr. complexes,3459.0,441872,Supraventricular premature beats,Condition,SNOMED
Possible Left ventricular hypertrophy,3459.0,4184746,Left ventricular hypertrophy,Condition,SNOMED
Left atrial enlargement,3363.0,43022066,Left atrial enlargement,Condition,SNOMED
"Cannot rule out Anteroseptal infarct , age undetermined",3256.0,4064610,ECG: antero-septal infarct,Condition,SNOMED
"Nonspecific ST abnormality , probably digitalis effect",3203.0,4184762,EKG ST segment changes,Condition,SNOMED
"Cannot rule out Septal infarct , age undetermined",3165.0,4030021,Septal infarction by electrocardiogram,Condition,SNOMED
Ventricular-paced rhythm,3071.0,4092038,Ventricular pacing pattern,Condition,SNOMED
"Possible Anterior infarct , age undetermined",3051.0,4180609,Anterior myocardial infarction on electrocardiogram,Condition,SNOMED
Nonspecific ST-t change,2889.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
1st degree A-V block,2875.0,314379,First degree atrioventricular block,Condition,SNOMED
AV sequential or dual chamber electronic Pacemaker,2866.0,4088998,AV sequential pacing pattern,Condition,SNOMED
Sinus tachycardia with Premature atrial complexes,2825.0,4007310,Sinus tachycardia,Condition,SNOMED
"ST & T wave abnormality , consider lateral ischemia or digitalis effect",2817.0,4137879,EKG: lateral ischemia,Condition,SNOMED
"Inferior-posterior infarct , age undetermined",2806.0,4064349,EKG:posterior/inferior infarct,Condition,SNOMED
Wide QRS rhythm,2792.0,4321877,Wide QRS complex,Condition,SNOMED
Incomplete left bundle block,2556.0,4088336,Incomplete left bundle branch block,Condition,SNOMED
Atrial-sensed ventricular-paced rhythm,2508.0,4088998,AV sequential pacing pattern,Condition,SNOMED
large negative T-wave (anterior),2496.0,45767549,Anterior T wave inversion,Condition,SNOMED
Sinus tachycardia with occasional,2477.0,4007310,Sinus tachycardia,Condition,SNOMED
"ST & T wave abnormality , consider inferior ischemia or digitalis effect",2421.0,4137208,EKG: inferior ischemia,Condition,SNOMED
Electronic atrial Pacemaker,2386.0,4138896,Cardiac pacemaker active on electrocardiogram,Condition,SNOMED
Biatrial enlargement,2268.0,40480657,Bilateral enlargement of atria,Condition,SNOMED
intraventricular block,2196.0,4166844,Intraventricular conduction defect,Condition,SNOMED
Consider right ventricular involvement in acute inferior infarct,2142.0,45771322,Acute myocardial infarction of inferior wall involving right ventricle,Condition,SNOMED
"ST & T wave abnormality , consider anterolateral ischemia or digitalis effect",2104.0,4139185,EKG: anterior ischemia,Condition,SNOMED
"Prolonged QT , may be secondary to QRS abnormality",2092.0,4008859,Prolonged QT interval,Condition,SNOMED
Indeterminate axis,2040.0,4092017,Indeterminate cardiac axis,Condition,SNOMED
"Junctional ST depression, probably normal",2025.0,4038688,AV junctional rhythm,Condition,SNOMED
Supraventricular tachycardia,2023.0,4275423,Supraventricular tachycardia,Condition,SNOMED
ST-segment depression (anterior),1948.0,45767559,Anterior ST segment depression,Condition,SNOMED
Marked sinus bradycardia with 1st degree A-V block,1941.0,4171683,Sinus bradycardia,Condition,SNOMED
"T wave abnormality , consider lateral ischemia or digitalis effect",1797.0,4137879,EKG: lateral ischemia,Condition,SNOMED
Nonspecific intraventricular block,1781.0,44784220,Non-specific intraventricular conduction delay,Condition,SNOMED
Sinus bradycardia with occasional,1777.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus tachycardia with 1st degree A-V block,1775.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus tachycardia with short PR,1734.0,4007310,Sinus tachycardia,Condition,SNOMED
"Unusual P axis, possible ectopic atrial bradycardia",1677.0,4181676,P wave axis - finding,Condition,SNOMED
Sinus bradycardia with marked sinus arrhythmia,1596.0,4171683,Sinus bradycardia,Condition,SNOMED
Marked T wave abnormality consider anterolateral ischemia,1585.0,4139185,EKG: anterior ischemia,Condition,SNOMED
Right ventricular hypertrophy with repolarization abnormality,1570.0,4231591,Right ventricular hypertrophy,Condition,SNOMED
"T wave abnormality , consider inferior ischemia or digitalis effect",1567.0,4137208,EKG: inferior ischemia,Condition,SNOMED
complete Left bundle branch block,1448.0,37118682,ECG complete left bundle branch block,Condition,SNOMED
Marked sinus bradycardia with sinus arrhythmia,1420.0,4171683,Sinus bradycardia,Condition,SNOMED
"ST & T wave abnormality , consider inferolateral ischemia or digitalis effect",1417.0,4137208,EKG: inferior ischemia,Condition,SNOMED
"Possible Anterolateral infarct , age undetermined",1409.0,4184348,Anterolateral infarction by electrocardiogram,Condition,SNOMED
Atrial flutter with variable A-V block with premature ventricular or aberrantly conducted complexes,1400.0,314665,Atrial flutter,Condition,SNOMED
Sinus rhythm with 1st degree A-V block with occasional,1373.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus bradycardia with Premature atrial complexes,1351.0,4171683,Sinus bradycardia,Condition,SNOMED
Atrial flutter with 2:1 A-V conduction,1251.0,314665,Atrial flutter,Condition,SNOMED
Sinus tachycardia with frequent,1228.0,4007310,Sinus tachycardia,Condition,SNOMED
AV dual-paced rhythm,1197.0,4088998,AV sequential pacing pattern,Condition,SNOMED
Sinus rhythm with 1st degree A-V block with Premature atrial complexes,1181.0,314379,First degree atrioventricular block,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with 1st degree A-V block,1181.0,4091898,Sinus rhythm,Condition,SNOMED
"Right bundle branch block , plus Right ventricular hypertrophy",1151.0,314059,Right bundle branch block,Condition,SNOMED
ventricular-paced complexes,1111.0,4092038,Ventricular pacing pattern,Condition,SNOMED
Atrial flutter,1103.0,314665,Atrial flutter,Condition,SNOMED
Sinus tachycardia with Premature supraventricular complexes,1102.0,4007310,Sinus tachycardia,Condition,SNOMED
asystole,1089.0,4146418,EKG: asystole,Condition,SNOMED
Atrial flutter with 4:1 A-V conduction,1067.0,314665,Atrial flutter,Condition,SNOMED
Premature atrial complexes,1067.0,4115173,Atrial premature complex,Condition,SNOMED
short PR interval,1061.0,4171521,Shortened PR interval,Condition,SNOMED
"ST & T wave abnormality , consider anterior ischemia or digitalis effect",1053.0,4139185,EKG: anterior ischemia,Condition,SNOMED
Sinus bradycardia with short PR,1043.0,4171683,Sinus bradycardia,Condition,SNOMED
ST-segment elevation (inferior),1034.0,45767555,Inferior ST segment elevation,Condition,SNOMED
Wolff-Parkinson-White syndrome,1026.0,4253363,Wolff-Parkinson-White pattern,Condition,SNOMED
Sinus rhythm with premature atrial complexes,1024.0,4091898,Sinus rhythm,Condition,SNOMED
bradycardia,972.0,4169095,Bradycardia,Condition,SNOMED
Premature ventricular complexes and Premature atrial complexes,953.0,4089462,Ventricular premature complex,Condition,SNOMED
Junctional bradycardia,937.0,4169095,Bradycardia,Condition,SNOMED
Normal sinus rhythm with 1st degree A-V block,912.0,4276669,Normal sinus rhythm,Condition,SNOMED
Atrial fibrillation with slow ventricular response with premature ventricular or aberrantly conducted complexes,847.0,313217,Atrial fibrillation,Condition,SNOMED
Atrial fibrillation with slow ventricular response with a competing junctional Pacemaker,843.0,313217,Atrial fibrillation,Condition,SNOMED
Atrial-paced rhythm with prolonged AV conduction,842.0,4089488,Atrial pacing pattern,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with occasional,767.0,4091898,Sinus rhythm,Condition,SNOMED
"T wave abnormality , consider anterior ischemia or digitalis effect",739.0,4139185,EKG: anterior ischemia,Condition,SNOMED
Atrial-paced rhythm,734.0,4089488,Atrial pacing pattern,Condition,SNOMED
Biventricular hypertrophy,685.0,4145489,Ventricular hypertrophy,Condition,SNOMED
"Marked T wave abnormality , consider lateral ischemia",661.0,4137879,EKG: lateral ischemia,Condition,SNOMED
ST-segment depression (inferior),659.0,45767547,Inferior ST segment depression,Condition,SNOMED
Cannot rule out Inferior infarct,650.0,4247796,Inferior myocardial infarction on electrocardiogram,Condition,SNOMED
Sinus rhythm with 2nd degree A-V block (Mobitz I),631.0,4091898,Sinus rhythm,Condition,SNOMED
AV dual-paced rhythm with prolonged AV conduction,616.0,4088998,AV sequential pacing pattern,Condition,SNOMED
Atrial-sensed ventricular-paced rhythm with prolonged AV conduction,615.0,4088998,AV sequential pacing pattern,Condition,SNOMED
Sinus rhythm with 1st degree A-V block with frequent,584.0,314379,First degree atrioventricular block,Condition,SNOMED
Marked sinus bradycardia with 1st degree AV block,582.0,4171683,Sinus bradycardia,Condition,SNOMED
Wide QRS tachycardia,582.0,4321877,Wide QRS complex,Condition,SNOMED
Normal sinus rhythm with occasional,575.0,4276669,Normal sinus rhythm,Condition,SNOMED
Sinus bradycardia with frequent,574.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with 1st degree A-V block,573.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
"T wave abnormality , consider inferolateral ischemia or digitalis effect",541.0,4137208,EKG: inferior ischemia,Condition,SNOMED
"Unusual P axis, possible ectopic atrial tachycardia",539.0,4181676,P wave axis - finding,Condition,SNOMED
"Marked T-wave abnormality, consider inferolateral ischemia",537.0,4137208,EKG: inferior ischemia,Condition,SNOMED
Inferior infarct,533.0,4247796,Inferior myocardial infarction on electrocardiogram,Condition,SNOMED
"T wave abnormality , consider anterolateral ischemia or digitalis effect",532.0,4139185,EKG: anterior ischemia,Condition,SNOMED
Sinus bradycardia with sinus arrhythmia with 1st degree A-V block,528.0,4171683,Sinus bradycardia,Condition,SNOMED
ventricular bigeminy,523.0,4008580,Ventricular bigeminy,Condition,SNOMED
Premature supraventricular complexes,522.0,441872,Supraventricular premature beats,Condition,SNOMED
Pacemaker detected,517.0,4181993,Finding of cardiac pacemaker electrocardiographic pattern,Condition,SNOMED
Sinus rhythm with Premature ventricular complexes or Fusion complexes,510.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with 1st degree A-V block with Premature supraventricular complexes,501.0,314379,First degree atrioventricular block,Condition,SNOMED
"ST & Marked T-wave abnormality, consider inferolateral ischemia",463.0,4137208,EKG: inferior ischemia,Condition,SNOMED
Sinus bradycardia with Premature supraventricular complexes,460.0,4171683,Sinus bradycardia,Condition,SNOMED
Ventricular-paced rhythm with occasional,447.0,4092038,Ventricular pacing pattern,Condition,SNOMED
ST-segment elevation (lateral),443.0,45767554,Lateral ST segment elevation,Condition,SNOMED
"ST-segment elevation (lateral, anterior)",431.0,45772774,Anterior and lateral ST segment elevation,Condition,SNOMED
Sinus rhythm with premature supraventricular complexes,430.0,4091898,Sinus rhythm,Condition,SNOMED
"ST & Marked T wave abnormality , consider lateral ischemia",427.0,4137879,EKG: lateral ischemia,Condition,SNOMED
"Incomplete right bundle branch block , plus Right ventricular hypertrophy",407.0,4088338,Incomplete right bundle branch block,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block (Mobitz I),405.0,4007310,Sinus tachycardia,Condition,SNOMED
Accelerated Junctional rhythm with occasional,388.0,4145359,EKG: accelerated junctional rhythm,Condition,SNOMED
Atrial fibrillation with frequent,369.0,313217,Atrial fibrillation,Condition,SNOMED
Marked sinus bradycardia with marked sinus arrhythmia,363.0,4171683,Sinus bradycardia,Condition,SNOMED
Wolff-Parkinson-White,359.0,4253363,Wolff-Parkinson-White pattern,Condition,SNOMED
Incomplete left bundle branch block,341.0,4088336,Incomplete left bundle branch block,Condition,SNOMED
Wide QRS rhythm with occasional,336.0,4321877,Wide QRS complex,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with occasional,318.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm,317.0,4091898,Sinus rhythm,Condition,SNOMED
"ST & Marked T wave abnormality , consider anterolateral ischemia",315.0,4139185,EKG: anterior ischemia,Condition,SNOMED
Atrial fibrillation with occasional,309.0,313217,Atrial fibrillation,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with short PR,308.0,4091898,Sinus rhythm,Condition,SNOMED
Possible Inferior infarct,307.0,4247796,Inferior myocardial infarction on electrocardiogram,Condition,SNOMED
"ST & Marked T wave abnormality , consider anterior ischemia",286.0,4139185,EKG: anterior ischemia,Condition,SNOMED
Marked sinus bradycardia with frequent,276.0,4171683,Sinus bradycardia,Condition,SNOMED
"Possible Anteroseptal infarct , age undetermined",274.0,4064610,Anteroseptal infarction on electrocardiogram,Condition,SNOMED
Sinus rhythm with premature ventricular complexes or fusion complexes,274.0,4091898,Sinus rhythm,Condition,SNOMED
Sinus rhythm with Premature supraventricular complexes with occasional,258.0,4091898,Sinus rhythm,Condition,SNOMED
"Marked T wave abnormality , consider anterior ischemia",255.0,4139185,EKG: anterior ischemia,Condition,SNOMED
Sinus bradycardia with marked sinus arrhythmia with 1st degree A-V block,251.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus bradycardia with premature atrial complexes,251.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus rhythm with 2nd degree A-V block with 2:1 A-V conduction,247.0,4091898,Sinus rhythm,Condition,SNOMED
Accelerated Junctional rhythm with frequent,242.0,4145359,EKG: accelerated junctional rhythm,Condition,SNOMED
Normal sinus rhythm with frequent,240.0,4276669,Normal sinus rhythm,Condition,SNOMED
Sinus bradycardia with 1st degree A-V block with Premature atrial complexes,231.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with frequent,228.0,4091898,Sinus rhythm,Condition,SNOMED
"Posterior infarct , age undetermined",224.0,4253065,Posterior myocardial infarction on electrocardiogram,Condition,SNOMED
Sinus tachycardia with 2nd degree A-V block with 2:1 A-V conduction,224.0,4007310,Sinus tachycardia,Condition,SNOMED
Junctional rhythm with occasional,222.0,4038688,AV junctional rhythm,Condition,SNOMED
possible Left ventricular hypertrophy,217.0,4184746,Left ventricular hypertrophy,Condition,SNOMED
Biventricular Pacemaker detected,215.0,4092038,Ventricular pacing pattern,Condition,SNOMED
WPW syndrome,209.0,4253363,Wolff-Parkinson-White pattern,Condition,SNOMED
Idioventricular rhythm,201.0,4138336,ECG: idioventricular rhythm,Condition,SNOMED
Sinus bradycardia with 1st degree A-V block with occasional,194.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus rhythm with Premature supraventricular complexes and with occasional,194.0,4091898,Sinus rhythm,Condition,SNOMED
Ectopic atrial rhythm,191.0,4091898,Sinus rhythm,Condition,SNOMED
Atrial flutter with 3:1 A-V conduction,189.0,314665,Atrial flutter,Condition,SNOMED
Anteroseptal infarct,185.0,4064610,Anteroseptal infarction on electrocardiogram,Condition,SNOMED
Marked sinus bradycardia with Premature atrial complexes,168.0,4171683,Sinus bradycardia,Condition,SNOMED
Septal infarct,163.0,4030021,Septal infarction by electrocardiogram,Condition,SNOMED
Marked sinus bradycardia with occasional,144.0,4171683,Sinus bradycardia,Condition,SNOMED
Wide QRS rhythm with frequent,141.0,4321877,Wide QRS complex,Condition,SNOMED
"ST & Marked T wave abnormality , consider inferior ischemia",140.0,4137208,EKG: inferior ischemia,Condition,SNOMED
Marked sinus bradycardia with sinus arrhythmia with 1st degree A-V block,135.0,4171683,Sinus bradycardia,Condition,SNOMED
Atrial flutter with variable AV block,134.0,314665,Atrial flutter,Condition,SNOMED
premature atrial complexes,133.0,4115173,Atrial premature complex,Condition,SNOMED
Possible Lateral infarct,129.0,4064350,Lateral infarction on electrocardiogram,Condition,SNOMED
Atrial-sensed ventricular-paced rhythm with occasional,126.0,4088998,AV sequential pacing pattern,Condition,SNOMED
Sinus rhythm with sinus arrhythmia with 1st degree AV block,126.0,4091898,Sinus rhythm,Condition,SNOMED
Accelerated Junctional rhythm with Premature supraventricular complexes,123.0,4145359,EKG: accelerated junctional rhythm,Condition,SNOMED
"Marked T wave abnormality , consider inferior ischemia",123.0,4137208,EKG: inferior ischemia,Condition,SNOMED
Sinus rhythm with short PR with occasional,121.0,4171521,Shortened PR interval,Condition,SNOMED
Ventricular-paced rhythm with frequent,119.0,4092038,Ventricular pacing pattern,Condition,SNOMED
Sinus rhythm with short PR with Premature atrial complexes,118.0,4171521,Shortened PR interval,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with occasional",118.0,4181676,P wave axis - finding,Condition,SNOMED
Sinus tachycardia with 1st degree A-V block with Premature atrial complexes,113.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus bradycardia with sinus arrhythmia with occasional,112.0,4171683,Sinus bradycardia,Condition,SNOMED
Nonspecific ST change,110.0,4184762,EKG ST segment changes,Condition,SNOMED
"Junctional ST depression, probably abnormal",107.0,4038688,AV junctional rhythm,Condition,SNOMED
Sinus tachycardia with short PR with occasional,106.0,4007310,Sinus tachycardia,Condition,SNOMED
Normal sinus rhythm with short PR,104.0,4276669,Normal sinus rhythm,Condition,SNOMED
Sinus tachycardia with 1st degree AV block,104.0,4007310,Sinus tachycardia,Condition,SNOMED
Marked sinus bradycardia with marked sinus arrhythmia with 1st degree A-V block,101.0,4171683,Sinus bradycardia,Condition,SNOMED
Myocardial ischemia,96.0,4064346,EKG myocardial ischemia,Condition,SNOMED
"Unusual P axis, possible ectopic atrial rhythm with Premature atrial complexes",96.0,4181676,P wave axis - finding,Condition,SNOMED
"Marked T wave abnormality , consider anterolateral ischemia",94.0,4139185,EKG: anterior ischemia,Condition,SNOMED
Sinus tachycardia with 1st degree A-V block with occasional,92.0,4007310,Sinus tachycardia,Condition,SNOMED
Sinus rhythm with short PR with frequent,90.0,4171521,Shortened PR interval,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with Premature atrial complexes,89.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
AV dual-paced rhythm with occasional,88.0,4088998,AV sequential pacing pattern,Condition,SNOMED
Sinus bradycardia with sinus arrhythmia with 1st degree AV block,88.0,4171683,Sinus bradycardia,Condition,SNOMED
Junctional rhythm with frequent,87.0,4038688,AV junctional rhythm,Condition,SNOMED
Marked sinus bradycardia with short PR,87.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus rhythm with marked sinus arrhythmia with junctional escape complexes,87.0,4088347,Marked sinus arrhythmia,Condition,SNOMED
Sinus rhythm with 1st degree AV block with occasional,85.0,314379,First degree atrioventricular block,Condition,SNOMED
Supraventricular tachycardia with occasional,85.0,4275423,Supraventricular tachycardia,Condition,SNOMED
Atrial fibrillation with Premature ventricular complexes,83.0,313217,Atrial fibrillation,Condition,SNOMED
Sinus rhythm with short PR with Premature supraventricular complexes,83.0,4171521,Shortened PR interval,Condition,SNOMED
Sinus bradycardia with 1st degree A-V block with Premature supraventricular complexes,81.0,4171683,Sinus bradycardia,Condition,SNOMED
nonspecific T wave change,80.0,4065390,EKG: T wave abnormal,Condition,SNOMED
Sinus rhythm with Premature supraventricular complexes with frequent,80.0,4091898,Sinus rhythm,Condition,SNOMED
Marked sinus bradycardia with Premature supraventricular complexes,79.0,4171683,Sinus bradycardia,Condition,SNOMED
"ST elevation, consider",79.0,4295129,ST segment elevation,Condition,SNOMED
nonspecific T change,74.0,4065390,EKG: T wave abnormal,Condition,SNOMED
Prolonged QT c,72.0,4008859,Prolonged QT interval,Condition,SNOMED
